validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3682.358154296875,1752572062,,False,1,e5fbaefb,2025-07-15_10-34-22,9.378609657287598,9.378609657287598,32517,sapien-desktop,192.168.1.136,9.378609657287598,1
3609.5615234375,1752572071,,False,2,e5fbaefb,2025-07-15_10-34-31,8.35376524925232,17.732374906539917,32517,sapien-desktop,192.168.1.136,17.732374906539917,2
3560.6220703125,1752572079,,False,3,e5fbaefb,2025-07-15_10-34-39,8.358885049819946,26.091259956359863,32517,sapien-desktop,192.168.1.136,26.091259956359863,3
3532.6171875,1752572087,,False,4,e5fbaefb,2025-07-15_10-34-47,8.35299301147461,34.44425296783447,32517,sapien-desktop,192.168.1.136,34.44425296783447,4
3527.2421875,1752572096,,False,5,e5fbaefb,2025-07-15_10-34-56,8.352903366088867,42.79715633392334,32517,sapien-desktop,192.168.1.136,42.79715633392334,5
3508.05517578125,1752572104,,False,6,e5fbaefb,2025-07-15_10-35-04,8.35496973991394,51.15212607383728,32517,sapien-desktop,192.168.1.136,51.15212607383728,6
3507.2255859375,1752572112,,False,7,e5fbaefb,2025-07-15_10-35-12,8.368319511413574,59.520445585250854,32517,sapien-desktop,192.168.1.136,59.520445585250854,7
3507.41552734375,1752572121,,False,8,e5fbaefb,2025-07-15_10-35-21,8.362125396728516,67.88257098197937,32517,sapien-desktop,192.168.1.136,67.88257098197937,8
3492.082763671875,1752572129,,False,9,e5fbaefb,2025-07-15_10-35-29,8.356871604919434,76.2394425868988,32517,sapien-desktop,192.168.1.136,76.2394425868988,9
3489.74658203125,1752572137,,False,10,e5fbaefb,2025-07-15_10-35-37,8.367061376571655,84.60650396347046,32517,sapien-desktop,192.168.1.136,84.60650396347046,10
3488.3798828125,1752572146,,False,11,e5fbaefb,2025-07-15_10-35-46,8.360018491744995,92.96652245521545,32517,sapien-desktop,192.168.1.136,92.96652245521545,11
3492.056884765625,1752572154,,False,12,e5fbaefb,2025-07-15_10-35-54,8.354358196258545,101.320880651474,32517,sapien-desktop,192.168.1.136,101.320880651474,12
3483.818603515625,1752572163,,False,13,e5fbaefb,2025-07-15_10-36-03,8.363717794418335,109.68459844589233,32517,sapien-desktop,192.168.1.136,109.68459844589233,13
3483.79248046875,1752572171,,False,14,e5fbaefb,2025-07-15_10-36-11,8.385988712310791,118.07058715820312,32517,sapien-desktop,192.168.1.136,118.07058715820312,14
3482.712890625,1752572179,,False,15,e5fbaefb,2025-07-15_10-36-19,8.364804029464722,126.43539118766785,32517,sapien-desktop,192.168.1.136,126.43539118766785,15
3482.87939453125,1752572188,,False,16,e5fbaefb,2025-07-15_10-36-28,8.38278341293335,134.8181746006012,32517,sapien-desktop,192.168.1.136,134.8181746006012,16
3477.96630859375,1752572196,,False,17,e5fbaefb,2025-07-15_10-36-36,8.36933946609497,143.18751406669617,32517,sapien-desktop,192.168.1.136,143.18751406669617,17
3478.76220703125,1752572204,,False,18,e5fbaefb,2025-07-15_10-36-44,8.388443946838379,151.57595801353455,32517,sapien-desktop,192.168.1.136,151.57595801353455,18
3482.341552734375,1752572213,,False,19,e5fbaefb,2025-07-15_10-36-53,8.3949613571167,159.97091937065125,32517,sapien-desktop,192.168.1.136,159.97091937065125,19
3478.2021484375,1752572221,,False,20,e5fbaefb,2025-07-15_10-37-01,8.40676212310791,168.37768149375916,32517,sapien-desktop,192.168.1.136,168.37768149375916,20
