validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3695.03564453125,1752570961,,False,1,7b40085e,2025-07-15_10-16-01,9.052194356918335,9.052194356918335,27418,sapien-desktop,192.168.1.136,9.052194356918335,1
3609.019775390625,1752570969,,False,2,7b40085e,2025-07-15_10-16-09,8.208677530288696,17.26087188720703,27418,sapien-desktop,192.168.1.136,17.26087188720703,2
3577.462158203125,1752570978,,False,3,7b40085e,2025-07-15_10-16-18,8.562150001525879,25.82302188873291,27418,sapien-desktop,192.168.1.136,25.82302188873291,3
3561.349365234375,1752570986,,False,4,7b40085e,2025-07-15_10-16-26,8.629703998565674,34.452725887298584,27418,sapien-desktop,192.168.1.136,34.452725887298584,4
3546.94775390625,1752570995,,False,5,7b40085e,2025-07-15_10-16-35,8.94632625579834,43.399052143096924,27418,sapien-desktop,192.168.1.136,43.399052143096924,5
3539.29296875,1752571004,,False,6,7b40085e,2025-07-15_10-16-44,8.706103086471558,52.10515522956848,27418,sapien-desktop,192.168.1.136,52.10515522956848,6
3535.025390625,1752571013,,False,7,7b40085e,2025-07-15_10-16-53,8.791417598724365,60.89657282829285,27418,sapien-desktop,192.168.1.136,60.89657282829285,7
3529.208984375,1752571021,,False,8,7b40085e,2025-07-15_10-17-01,8.717407464981079,69.61398029327393,27418,sapien-desktop,192.168.1.136,69.61398029327393,8
3526.257080078125,1752571030,,False,9,7b40085e,2025-07-15_10-17-10,8.702391624450684,78.31637191772461,27418,sapien-desktop,192.168.1.136,78.31637191772461,9
3526.021484375,1752571039,,False,10,7b40085e,2025-07-15_10-17-19,8.686537027359009,87.00290894508362,27418,sapien-desktop,192.168.1.136,87.00290894508362,10
3524.072021484375,1752571047,,False,11,7b40085e,2025-07-15_10-17-27,8.596822500228882,95.5997314453125,27418,sapien-desktop,192.168.1.136,95.5997314453125,11
3522.783203125,1752571056,,False,12,7b40085e,2025-07-15_10-17-36,8.035550355911255,103.63528180122375,27418,sapien-desktop,192.168.1.136,103.63528180122375,12
3520.20751953125,1752571063,,False,13,7b40085e,2025-07-15_10-17-43,7.959105968475342,111.5943877696991,27418,sapien-desktop,192.168.1.136,111.5943877696991,13
3516.9970703125,1752571072,,False,14,7b40085e,2025-07-15_10-17-52,8.116222858428955,119.71061062812805,27418,sapien-desktop,192.168.1.136,119.71061062812805,14
3517.177978515625,1752571080,,False,15,7b40085e,2025-07-15_10-18-00,8.157178163528442,127.8677887916565,27418,sapien-desktop,192.168.1.136,127.8677887916565,15
3518.09033203125,1752571088,,False,16,7b40085e,2025-07-15_10-18-08,8.005056619644165,135.87284541130066,27418,sapien-desktop,192.168.1.136,135.87284541130066,16
3514.31201171875,1752571096,,False,17,7b40085e,2025-07-15_10-18-16,8.050490617752075,143.92333602905273,27418,sapien-desktop,192.168.1.136,143.92333602905273,17
3514.396484375,1752571104,,False,18,7b40085e,2025-07-15_10-18-24,8.48054552078247,152.4038815498352,27418,sapien-desktop,192.168.1.136,152.4038815498352,18
3515.16015625,1752571112,,False,19,7b40085e,2025-07-15_10-18-32,8.163560152053833,160.56744170188904,27418,sapien-desktop,192.168.1.136,160.56744170188904,19
3517.02978515625,1752571121,,False,20,7b40085e,2025-07-15_10-18-41,8.130656480789185,168.69809818267822,27418,sapien-desktop,192.168.1.136,168.69809818267822,20
