,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
CA7,0.9568,0.043200000000000016,3.0977536669163523,3.7424288e-06,0.00011123347,1e-07,0.5,-4.7232633,-4.828664,3.0076017,-16.495678,9.213543,0.004256216,0.09245485,0.004140786749482403,0.05419222903885488,0.037981663,1.1115005,True,Tumor vs Normal,Tumor,Normal
TTTY14,0.9584,0.04159999999999997,3.1371648301434383,1.8298041e-06,2.2317134e-05,1e-07,0.5,-4.6357803,-4.845272,2.801846,-11.762254,8.332083,0.0012763025,0.032900773,0.0010351966873706005,0.023517382413087935,0.0137098655,0.38664073,True,Tumor vs Normal,Tumor,Normal
CLDN2,0.9472,0.05279999999999996,2.886998894581037,6.5798406e-05,3.1270322e-06,1e-07,0.5,4.616412,4.7386727,3.945227,-9.849711,17.190094,0.05134341,0.00083069614,0.06176673567977898,0.0010224948875255625,0.4883342,0.0072220224,True,Tumor vs Normal,Tumor,Normal
EDIL3,0.9656,0.034399999999999986,3.3346928250625925,2.7668223e-06,3.6714886e-05,1e-07,0.5,-4.530992,-4.7350364,2.7643719,-12.159434,8.393726,0.00019894639,0.051255368,0.0010351966873706005,0.040899795501022525,0.0014902793,0.5717679,True,Tumor vs Normal,Tumor,Normal
NPTX2,0.9384,0.06159999999999999,2.723514275118579,4.550089e-06,0.00015675792,1e-07,0.5,-4.5057464,-4.718778,3.7800744,-15.114748,8.319602,0.004031646,0.12635869,0.00448585231193927,0.07566462167689175,0.04324234,1.4522744,True,Tumor vs Normal,Tumor,Normal
TTTY15,0.9402,0.059799999999999964,2.755086801045413,7.5306343e-06,3.8822756e-05,1e-07,0.5,-4.4762073,-4.7779946,4.1643624,-16.011705,10.018702,0.010102544,0.05881794,0.011732229123533467,0.04498977505112479,0.10075995,0.6581509,True,Tumor vs Normal,Tumor,Normal
SPIB,0.9510000000000001,0.04899999999999993,2.9656935708684005,1.2330397e-05,0.00027567832,1e-07,0.5,-4.341512,-4.2304316,3.1210942,-14.624212,8.028794,0.016287161,0.24698232,0.01414768806073153,0.15030674846625805,0.16122481,2.8743331,True,Tumor vs Normal,Tumor,Normal
CNTN4,0.9613999999999999,0.03860000000000008,3.215138030323247,1.7104717e-06,2.2141201e-05,1e-07,0.5,-4.2603736,-4.3536386,2.5437288,-12.197263,6.548071,0.00043768392,0.03303994,0.0010351966873706005,0.028629856850715747,0.0033398268,0.35927212,True,Tumor vs Normal,Tumor,Normal
FABP6,0.9386,0.06140000000000001,2.7269794159949496,2.4229379e-05,2.3151501e-06,1e-07,0.5,4.2226543,4.053073,3.538638,-9.039289,15.531535,0.039832234,0.0007263176,0.07315389924085551,0.0010224948875255625,0.41600028,0.005907393,True,Tumor vs Normal,Tumor,Normal
SLC4A4,0.9621999999999999,0.037800000000000056,3.23691297248243,2.5164933e-05,0.00027045218,1e-07,0.5,-4.0484147,-4.141272,2.619227,-12.49756,8.0804205,0.031512525,0.34065497,0.05141476880607305,0.23721881390593114,0.32150593,3.8621223,True,Tumor vs Normal,Tumor,Normal
DPEP1,0.9456,0.054400000000000004,2.8554553195417203,0.0005045795,1.9921066e-05,1e-07,0.5,3.9844415,4.133815,3.2387187,-6.917487,13.9750185,0.49769092,0.0074040755,0.36542443064182895,0.007157464212678937,5.180739,0.06829704,True,Tumor vs Normal,Tumor,Normal
TMEM211,0.9422,0.05779999999999996,2.791228628190702,8.535488e-06,4.0776064e-07,1e-07,0.5,3.8968515,4.0283117,2.4174361,-5.8870754,11.834188,0.00938087,0.0,0.021394064872325747,0.0,0.09120372,0.0,True,Tumor vs Normal,Tumor,Normal
SERPINB5,0.964,0.03600000000000003,3.2875720887501396,5.5389046e-05,4.5793645e-06,1e-07,0.5,3.8956242,3.9136434,2.271573,-6.395241,10.990931,0.091692716,0.0027720174,0.1538992408557618,0.002044989775051125,0.8514266,0.032569706,True,Tumor vs Normal,Tumor,Normal
SCN9A,0.952,0.04800000000000004,2.987363826054364,3.21546e-06,2.806434e-05,1e-07,0.5,-3.7278192,-3.9689183,2.7738717,-12.965485,10.461563,0.0030291276,0.029853445,0.006211180124223605,0.023517382413087935,0.028279163,0.32237637,True,Tumor vs Normal,Tumor,Normal
PITX1,0.9604,0.03959999999999997,3.1885205039737716,7.106529e-05,7.49814e-06,1e-07,0.5,3.686313,3.717987,2.1138394,-6.763088,11.180746,0.09585395,0.0,0.14423740510696959,0.0,0.97539616,0.0,True,Tumor vs Normal,Tumor,Normal
WFS1,0.9394,0.06059999999999999,2.740946326146231,4.6768604e-05,4.657492e-06,1e-07,0.5,3.3724737,3.419723,2.3392482,-6.517558,10.7056055,0.069666594,0.0013787249,0.0945479641131811,0.0010224948875255625,0.7407271,0.017540874,True,Tumor vs Normal,Tumor,Normal
TGFBI,0.9512,0.048799999999999955,2.969993838112496,0.0002560268,2.1848346e-05,1e-07,0.5,3.2904415,3.2894478,2.0342984,-4.4785643,13.075814,0.24370202,0.0059812902,0.2619047619047613,0.007157464212678937,2.5171046,0.056721114,True,Tumor vs Normal,Tumor,Normal
BMP4,0.9401999999999999,0.059800000000000075,2.7550868010454113,7.137817e-05,6.474752e-06,1e-07,0.5,3.2388968,3.2702188,2.26434,-4.4790726,10.304037,0.08651483,0.00054992514,0.10697032436162822,0.0010224948875255625,0.8928363,0.0049004303,True,Tumor vs Normal,Tumor,Normal
REG4,0.9414,0.058599999999999985,2.776633272358103,0.00089260645,6.9374655e-05,1e-07,0.5,2.9797616,3.0734787,5.375813,-12.938349,17.266884,0.4936606,0.042817626,0.24948240165631322,0.03067484662576687,4.5041003,0.47642115,True,Tumor vs Normal,Tumor,Normal
