,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
XIST,0.9458,0.054200000000000026,2.859350047835406,0.00020938697,9.565222e-05,1e-07,0.5,4.8465967,4.690967,6.177603,-13.561088,18.077316,0.17816474,0.13303095,0.2127659574468085,0.12025316455696208,1.6067919,1.2766207,True,Left vs Right,Left,Right
URAD,0.9642000000000001,0.03579999999999994,3.2933505796065914,6.38346e-06,0.000111514186,1e-07,0.5,-4.5659866,-4.635535,2.536313,-12.126996,3.0483418,0.0,0.14740908,0.0,0.13291139240506336,0.0,1.6041151,True,Left vs Right,Left,Right
MTRNR2L12,0.9516,0.0484,2.978644768603285,0.0010551987,0.00044822716,1e-07,0.5,2.8527827,3.1135182,5.9347663,-15.734348,18.4978,0.33422714,0.18385243,0.1702127659574468,0.08860759493670889,3.5208364,2.082439,True,Left vs Right,Left,Right
RPS4Y1,0.946,0.05400000000000005,2.8632583478732596,3.2545835e-05,6.9903384e-05,1e-07,0.5,2.1120477,2.5479574,9.212251,-14.250129,22.558558,0.045346502,0.091405004,0.0425531914893617,0.06962025316455697,0.40157142,0.97903144,True,Left vs Right,Left,Right
