,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
RPS4Y1,0.9532,0.04679999999999995,3.0139413391167738,0.00010424701,4.7118265e-05,1e-07,0.5,8.576314,10.747681,7.6768904,-11.463902,21.956781,0.14563468,0.060207352,0.16666666666666666,0.07692307692307693,1.1721668,0.4728442,True,Left vs Right,Left,Right
HLA-DQA2,0.9720000000000001,0.027999999999999914,3.5471509474305103,0.00091279735,5.8140486e-05,1e-07,0.5,5.2892385,5.542736,2.2128532,-5.6802273,10.440995,1.3119414,0.06507662,0.8333333333333343,0.038461538461538464,11.825563,0.4851871,True,Left vs Right,Left,Right
EIF1AY,0.9430000000000001,0.05699999999999994,2.8060148499647815,2.2332752e-05,1.0637757e-05,1e-07,0.5,3.697002,4.3968887,5.366281,-10.61284,14.944461,0.048066027,0.04324749,0.06666666666666667,0.07692307692307693,0.39487177,0.3958528,True,Left vs Right,Left,Right
MTRNR2L8,0.942,0.05800000000000005,2.7875621022318757,3.0335417e-05,0.0027505509,1e-07,0.5,-3.6270292,-2.9670706,6.983053,-20.404226,12.22025,0.03199033,0.53236556,0.05,0.19230769230769232,0.2507715,4.6986103,True,Left vs Right,Left,Right
IGHA2,0.9696,0.030399999999999983,3.4624406882690915,5.2138643e-05,0.0002490403,1e-07,0.5,-2.398841,-3.5692272,2.9179928,-7.3718233,9.973685,0.044270657,0.32177004,0.05,0.5384615384615383,0.4288808,2.8419151,True,Left vs Right,Left,Right
IGHV2-5,0.9348,0.06520000000000004,2.662872991055349,1.9442043e-06,5.540124e-06,1e-07,0.5,-2.091276,-2.40308,2.3486512,-8.510042,6.0725155,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
