,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
IGHG3,0.9382,0.061799999999999966,2.7200596302771367,5.5364384e-05,3.6915197e-05,1e-07,0.5,-1.0692215,-1.5662699,4.4956408,-11.7514515,10.480629,0.04769662,0.0461847,0.09909909909909907,0.0807799442896936,0.40235978,0.41555384,True,Left vs Right,Left,Right
RPS4Y1,0.9552,0.04479999999999995,3.0597123904721504,0.00011150203,0.00011414534,1e-07,0.5,0.8338536,-1.3491344,7.540337,-12.100152,22.956043,0.11418208,0.2224646,0.10360360360360357,0.2256267409470757,0.8762593,1.756091,True,Left vs Right,Left,Right
