,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
XIST,1.0,0.0,18.420680753952368,0.0005397924,5.7227624e-07,1e-07,0.5,10.01827,10.048866,0.76910263,7.0247507,12.230755,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RPS4Y1,1.0,0.0,18.420680753952368,7.230348e-07,0.00033151676,1e-07,0.5,-8.83527,-8.81541,0.6295832,-11.348995,-6.5690374,0.6809079,0.7992966,0.5,0.7999999999999999,7.414976,5.978958,True,Left vs Right,Left,Right
DDX3Y,1.0,0.0,18.420680753952368,2.5642643e-07,8.1648766e-05,1e-07,0.5,-8.271945,-8.365084,0.8303386,-10.291641,-4.7279835,0.17775752,0.20027737,0.125,0.6666666666666666,1.9303508,1.4388998,True,Left vs Right,Left,Right
UTY,1.0,0.0,18.420680753952368,1.3593429e-07,1.5681922e-05,1e-07,0.5,-6.7641807,-6.7950187,0.86532336,-9.560946,-3.4349976,0.0,0.011371843,0.0,0.06666666666666667,0.0,0.076731704,True,Left vs Right,Left,Right
HLA-DQA2,1.0,0.0,18.420680753952368,4.186188e-05,4.5183478e-07,1e-07,0.5,6.4854865,6.5119143,1.1167737,2.5413399,11.451405,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
EIF1AY,1.0,0.0,18.420680753952368,2.3498554e-07,2.053424e-05,1e-07,0.5,-6.457124,-6.4346914,0.54193175,-8.830493,-4.8283978,0.0,0.04640187,0.0,0.2,0.0,0.36150217,True,Left vs Right,Left,Right
TTTY15,1.0,0.0,18.420680753952368,1.418042e-07,1.1713781e-05,1e-07,0.5,-6.3555655,-6.3543453,0.72625923,-8.894109,-4.2684803,0.0,0.010651365,0.0,0.06666666666666667,0.0,0.07528377,True,Left vs Right,Left,Right
ZFY,1.0,0.0,18.420680753952368,2.0613184e-07,1.2216192e-05,1e-07,0.5,-5.828197,-5.891487,0.80213135,-8.275147,-2.8344307,0.0,0.012547174,0.0,0.06666666666666667,0.0,0.08457825,True,Left vs Right,Left,Right
USP9Y,1.0,0.0,18.420680753952368,3.3032447e-07,1.6015341e-05,1e-07,0.5,-5.5439253,-5.604525,0.9118295,-8.043623,-2.3768063,0.0,0.05264795,0.0,0.2,0.0,0.4076758,True,Left vs Right,Left,Right
KDM5D,1.0,0.0,18.420680753952368,9.010897e-07,3.0372497e-05,1e-07,0.5,-5.046226,-5.087551,0.76455873,-7.213029,-2.266716,0.0,0.06400241,0.0,0.2,0.0,0.45899785,True,Left vs Right,Left,Right
PRAC1,0.9975999999999999,0.0024000000000000687,6.0298795003779695,1.2155739e-06,4.4530957e-08,1e-07,0.5,4.8124404,4.8833113,1.3027776,-1.2283401,8.6441555,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
NLGN4Y,1.0,0.0,18.420680753952368,7.8164254e-07,1.8589906e-05,1e-07,0.5,-4.556065,-4.5960536,0.60360694,-6.310852,-2.4239197,0.17775752,0.08791222,0.125,0.26666666666666666,1.9303508,0.6448226,True,Left vs Right,Left,Right
MTRNR2L1,1.0,0.0,18.420680753952368,1.6714594e-05,8.0094037e-07,1e-07,0.5,4.476786,4.523996,0.96772945,1.158495,7.3121996,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RGPD2,1.0,0.0,18.420680753952368,1.2697293e-06,6.7932596e-08,1e-07,0.5,4.309368,4.2279463,1.0132359,1.2658405,8.236641,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TSIX,1.0,0.0,18.420680753952368,6.552352e-06,3.9952766e-07,1e-07,0.5,4.1822844,4.1998787,0.8687128,1.0938396,7.357008,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TFF1,0.9992,0.0008000000000000229,7.13008602021168,5.274731e-06,9.3055365e-05,1e-07,0.5,-4.172272,-4.210646,0.9864318,-8.291882,0.4599676,0.0,0.012547174,0.0,0.06666666666666667,0.0,0.08457825,True,Left vs Right,Left,Right
TTTY14,1.0,0.0,18.420680753952368,5.482153e-07,9.475726e-06,1e-07,0.5,-4.106065,-4.1206493,0.51067454,-5.8801975,-1.9928322,0.0,0.043697767,0.0,0.13333333333333333,0.0,0.3794155,True,Left vs Right,Left,Right
IGHG4,1.0,0.0,18.420680753952368,2.672751e-05,1.5879805e-06,1e-07,0.5,4.0488095,4.054125,0.6601956,1.5936184,6.4792967,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
APOD,0.9994,0.0006000000000000449,7.417964066154244,0.002887291,0.00018995567,1e-07,0.5,3.959593,3.910511,1.1190463,-0.71340847,7.886892,3.605834,0.11212652,1.0,0.26666666666666666,39.8944,0.8284017,True,Left vs Right,Left,Right
IRX2,1.0,0.0,18.420680753952368,9.966306e-06,6.6139285e-07,1e-07,0.5,3.9053855,3.898306,0.715505,1.460598,6.7321424,0.3354501,0.0,0.25,0.0,3.9005356,0.0,True,Left vs Right,Left,Right
HLA-DRB5,0.996,0.0040000000000000036,5.517450406507993,1.1909558e-06,7.99238e-08,1e-07,0.5,3.721861,3.693388,1.1725516,-0.14261818,8.03985,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KLK11,0.9916,0.008399999999999963,4.771086913921002,5.028579e-07,5.584309e-06,1e-07,0.5,-3.6237614,-3.518095,1.3497839,-10.187162,0.75907135,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
IGHG3,1.0,0.0,18.420680753952368,8.007786e-05,6.706115e-06,1e-07,0.5,3.6222036,3.5089445,0.88095385,1.2243223,8.1073065,0.28251103,0.012297726,0.25,0.06666666666666667,2.7546022,0.08841689,True,Left vs Right,Left,Right
SCEL,0.9848,0.015199999999999991,4.171142499277839,9.672106e-08,1.1490365e-06,1e-07,0.5,-3.592476,-3.5975685,1.2783091,-8.27511,0.740757,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KLK10,0.9962,0.0038000000000000256,5.568944352369496,5.473225e-07,5.606852e-06,1e-07,0.5,-3.4930809,-3.515499,1.1252291,-7.603195,0.77583694,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
UHRF1,0.9922,0.007800000000000029,4.845799694199552,3.7810514e-07,4.2705856e-06,1e-07,0.5,-3.4509888,-3.4875984,1.1532012,-6.9322433,0.51115036,0.0,0.012297726,0.0,0.06666666666666667,0.0,0.08841689,True,Left vs Right,Left,Right
ADGRG6,0.9986,0.0013999999999999568,6.569874928627714,1.5977253e-06,1.5793554e-05,1e-07,0.5,-3.4091337,-3.4378376,0.99504393,-6.5055313,0.06683922,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CEMIP,0.969,0.031000000000000028,3.4422770951449433,1.93416e-06,2.4532017e-05,1e-07,0.5,-3.3630052,-3.4858127,1.4786092,-7.5501423,2.9715996,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ZNF749,1.0,0.0,18.420680753952368,4.500687e-06,4.475916e-07,1e-07,0.5,3.3250957,3.3137426,0.482353,1.7740078,5.001112,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
NTS,0.9521999999999999,0.047800000000000065,2.991749258560003,1.1913864e-07,1.1689551e-06,1e-07,0.5,-3.3057046,-3.3942213,1.4687752,-9.157246,3.7616177,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TMSB4Y,0.9998,0.00019999999999997797,8.516943182665639,1.9259707e-07,1.9227905e-06,1e-07,0.5,-3.295086,-3.3192282,0.67791307,-5.11104,-0.5296459,0.0,0.018936215,0.0,0.06666666666666667,0.0,0.1502984,True,Left vs Right,Left,Right
PI4K2B,1.0,0.0,18.420680753952368,1.9728973e-06,1.9194733e-05,1e-07,0.5,-3.2626936,-3.231491,0.6943885,-5.872962,-0.7013645,0.0,0.011949447,0.0,0.06666666666666667,0.0,0.084669486,True,Left vs Right,Left,Right
LINC01088,0.9856,0.014399999999999968,4.226021701899203,1.2719225e-06,1.23891205e-05,1e-07,0.5,-3.2328992,-3.3205905,1.0168988,-7.0509605,1.2658367,0.0,0.028498609,0.0,0.13333333333333333,0.0,0.2023795,True,Left vs Right,Left,Right
TDO2,0.9774,0.022599999999999953,3.766945646311264,2.7175151e-06,2.9722187e-05,1e-07,0.5,-3.1951108,-3.3470812,1.4057294,-6.7651825,3.1684685,0.0,0.1233244,0.0,0.26666666666666666,0.0,0.89402217,True,Left vs Right,Left,Right
LINC00278,0.9954,0.0046000000000000485,5.377086199064927,7.446188e-08,6.7573154e-07,1e-07,0.5,-3.1583793,-3.2263622,0.81898475,-5.4018726,-0.2950592,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KIF20A,0.9818,0.018199999999999994,3.9879654882761786,1.03202524e-07,9.501301e-07,1e-07,0.5,-3.1546257,-3.186736,1.1156179,-6.7232304,0.81357384,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
GNG4,0.9996,0.00039999999999995595,7.823620941151559,3.5108158e-06,3.897538e-07,1e-07,0.5,3.1387274,3.1373758,0.80742717,-0.25205994,6.530102,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RTN1,0.992,0.008000000000000007,4.820280325686463,6.0926635e-07,5.046086e-06,1e-07,0.5,-3.1280458,-3.1425638,1.0490116,-6.834608,0.19532585,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
E2F7,0.9461999999999999,0.05380000000000007,2.867180320724309,1.5281731e-07,1.6000055e-06,1e-07,0.5,-3.1131718,-3.2811642,1.5732685,-7.7869205,3.0654297,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
GABRA2,0.9978,0.0021999999999999797,6.11709095964051,1.5989942e-06,1.371207e-05,1e-07,0.5,-3.0981743,-3.0763288,0.934972,-6.0853367,-0.029806137,0.0,0.046166427,0.0,0.13333333333333333,0.0,0.3482193,True,Left vs Right,Left,Right
GALNTL6,0.9554,0.04459999999999997,3.0643960281814424,7.3449144e-08,6.295707e-07,1e-07,0.5,-3.0860887,-3.1798487,1.0503504,-6.9800415,1.5835552,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MMP7,0.9640000000000001,0.03599999999999992,3.2875720887501427,2.1048554e-06,1.8896459e-05,1e-07,0.5,-3.0598578,-3.0266266,1.4903116,-10.133415,1.6462269,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
PMFBP1,0.9996,0.00039999999999995595,7.823620941151559,2.1988506e-06,2.6812032e-07,1e-07,0.5,3.0523596,3.060998,0.7730604,0.26752853,5.752556,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RPA4,0.9742,0.025800000000000045,3.631241752112877,9.081053e-07,8.35245e-06,1e-07,0.5,-3.0361063,-3.2363815,1.4432995,-6.4044237,3.336256,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TMEM241,1.0,0.0,18.420680753952368,1.3228029e-06,1.0736044e-05,1e-07,0.5,-3.011755,-2.9788036,0.5779499,-5.3846655,-1.312149,0.0,0.027997812,0.0,0.06666666666666667,0.0,0.19719702,True,Left vs Right,Left,Right
DSG2,0.9892,0.010800000000000032,4.517349485700766,7.814792e-06,6.0406197e-05,1e-07,0.5,-2.999252,-2.956225,0.925829,-6.513915,0.6375599,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
WDR72,0.9676,0.032399999999999984,3.3966600576305104,2.1514965e-07,1.6133325e-06,1e-07,0.5,-2.9597235,-2.9286308,1.1777401,-7.93396,1.8253803,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ADAM12,0.9954,0.0046000000000000485,5.377086199064927,9.909565e-06,7.308248e-05,1e-07,0.5,-2.9431982,-2.912737,0.98530334,-6.235155,0.28486252,0.0,0.35119313,0.0,0.6,0.0,2.6207526,True,Left vs Right,Left,Right
FGFBP1,0.97,0.030000000000000027,3.476098366811273,8.91585e-08,7.15606e-07,1e-07,0.5,-2.9224994,-2.8781013,1.2309061,-8.167818,1.0331135,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CLDN2,0.9706,0.02939999999999998,3.4969194327933892,8.2688416e-07,6.5592885e-06,1e-07,0.5,-2.9194984,-2.9645977,1.1697026,-6.405634,2.460064,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SHROOM3,0.9982,0.0018000000000000238,6.318161446611285,3.4844554e-06,2.5779811e-05,1e-07,0.5,-2.9085016,-2.9268107,0.7798154,-5.5941772,0.025306702,0.0,0.031932436,0.0,0.06666666666666667,0.0,0.29080617,True,Left vs Right,Left,Right
MYCL,0.9598,0.040200000000000014,3.172857695461819,1.936729e-07,1.5048369e-06,1e-07,0.5,-2.9078746,-3.032092,1.3285899,-7.0795097,3.2752037,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ANLN,0.9894,0.010600000000000054,4.536243764386936,4.431665e-07,3.2239086e-06,1e-07,0.5,-2.8661125,-2.8524122,1.0670191,-7.5119495,0.5683098,0.0,0.014995832,0.0,0.06666666666666667,0.0,0.10899615,True,Left vs Right,Left,Right
ALG1L,0.9484,0.05159999999999998,2.911254498449377,1.00610734e-07,7.176561e-07,1e-07,0.5,-2.8535433,-2.8602848,1.2295046,-6.497137,1.7953224,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ZNF883,0.9986,0.0013999999999999568,6.569874928627714,1.2240172e-06,8.9157775e-06,1e-07,0.5,-2.8336773,-2.8831348,0.66939795,-4.996007,-0.24721718,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LCN15,0.9572,0.04279999999999995,3.1074740302487736,1.50179e-07,8.93348e-07,1e-07,0.5,-2.8307564,-2.9121742,1.242581,-6.5771446,1.687088,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TNR,0.9586,0.04139999999999999,3.1421927747802774,1.900711e-07,1.4555935e-06,1e-07,0.5,-2.828544,-2.9142466,0.9862091,-5.3952503,1.3446236,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SMARCA5-AS1,0.9246,0.07540000000000002,2.5065538147297164,3.0706616e-08,2.1577401e-07,1e-07,0.5,-2.8231206,-2.9289045,1.0757431,-5.7853527,3.0667381,0.0,0.031932436,0.0,0.06666666666666667,0.0,0.29080617,True,Left vs Right,Left,Right
SIGLEC14,0.9856,0.014399999999999968,4.226021701899203,1.0306096e-06,1.5858423e-07,1e-07,0.5,2.821053,2.7907171,1.100563,-0.4872589,7.9795628,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
DIO3OS,0.9972,0.0028000000000000247,5.875328373074121,9.266355e-05,1.4307047e-05,1e-07,0.5,2.8028684,2.8076925,0.8773971,0.07250595,5.9325294,0.0,0.05811071,0.0,0.2,0.0,0.45002893,True,Left vs Right,Left,Right
DLGAP5,0.9144,0.08560000000000001,2.368582723446614,1.7869334e-07,1.3640051e-06,1e-07,0.5,-2.7984853,-2.9028654,1.7018739,-9.119389,3.612074,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
NR4A3,0.9396,0.06040000000000001,2.744464992923915,2.9186658e-06,2.3559589e-05,1e-07,0.5,-2.7977223,-2.8749838,1.8115193,-8.183415,4.0272846,0.0,0.012297726,0.0,0.06666666666666667,0.0,0.08841689,True,Left vs Right,Left,Right
EPHA2,0.972,0.028000000000000025,3.5471509474305067,2.2836591e-06,1.6665888e-05,1e-07,0.5,-2.7778304,-2.826427,1.1206365,-6.3672323,1.6646423,0.0,0.011765333,0.0,0.06666666666666667,0.0,0.088609345,True,Left vs Right,Left,Right
C6orf141,0.9538000000000001,0.04619999999999991,3.027474001810618,1.9188924e-07,1.3390546e-06,1e-07,0.5,-2.775657,-2.9061022,1.0835143,-5.6628323,2.0764217,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CASC8,0.9695999999999999,0.030400000000000094,3.462440688269088,2.8465482e-07,1.8569766e-06,1e-07,0.5,-2.738499,-2.7612104,1.1151941,-6.6926823,2.7617912,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TFF3,0.9793999999999999,0.020600000000000063,3.861648588246236,3.754695e-05,0.0002457071,1e-07,0.5,-2.7265415,-2.7807736,1.0096823,-6.149564,1.4546041,0.0,0.14604622,0.0,0.5333333333333333,0.0,1.1100986,True,Left vs Right,Left,Right
MAGI2,0.9948,0.005199999999999982,5.253881173319069,5.5581993e-05,8.716893e-06,1e-07,0.5,2.7235112,2.7318587,0.80928123,-0.23824024,5.341998,0.35865697,0.01654916,0.25,0.06666666666666667,4.280093,0.11771,True,Left vs Right,Left,Right
EPHA1-AS1,0.9605999999999999,0.0394000000000001,3.1937920295299187,7.8792385e-07,5.529055e-06,1e-07,0.5,-2.7176685,-2.838457,1.0671121,-5.682625,2.2199383,0.0,0.021762475,0.0,0.06666666666666667,0.0,0.16390175,True,Left vs Right,Left,Right
CTSE,0.9802,0.01980000000000004,3.9020741999265773,1.5472629e-06,8.941132e-06,1e-07,0.5,-2.7162313,-2.7535868,1.0447398,-6.2632504,2.3332539,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
WNT5B,0.9976,0.0023999999999999577,6.029879500378016,3.371703e-05,5.3600506e-06,1e-07,0.5,2.6898322,2.7186294,0.76416385,0.14911842,5.2037354,0.14229724,0.012547174,0.125,0.06666666666666667,1.3492198,0.08457825,True,Left vs Right,Left,Right
SLC18A2,0.9776,0.022399999999999975,3.7760391933569983,1.647367e-06,1.02313725e-05,1e-07,0.5,-2.6777651,-2.6329803,1.1229767,-6.9319706,0.8786144,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ZG16,0.9882,0.011800000000000033,4.427784737602169,2.4120332e-06,1.4615388e-05,1e-07,0.5,-2.6735299,-2.677763,0.9564311,-5.9195232,0.93502235,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
PDGFRL,0.9783999999999999,0.021600000000000064,3.813224816940753,0.00020127132,3.4538065e-05,1e-07,0.5,2.6716816,2.6947207,0.99409807,-1.1529741,5.991106,0.54809105,0.036012504,0.375,0.2,5.584257,0.26169574,True,Left vs Right,Left,Right
F8A3,0.9972,0.0028000000000000247,5.875328373074121,1.6013048e-06,2.3906446e-07,1e-07,0.5,2.6714294,2.703144,0.79577416,-0.36107445,5.302557,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
AMH,0.9736,0.02639999999999998,3.607636163004399,4.182531e-07,2.6469975e-06,1e-07,0.5,-2.656158,-2.7003736,0.97092074,-5.593601,1.2238445,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LIPG,0.9703999999999999,0.02960000000000007,3.4899336687670712,3.4358147e-06,2.2351187e-05,1e-07,0.5,-2.649107,-2.7614636,1.1300052,-5.633606,3.0593472,0.0,0.033666473,0.0,0.06666666666666667,0.0,0.26721373,True,Left vs Right,Left,Right
CPS1,0.9586,0.04139999999999999,3.1421927747802774,8.016426e-07,5.4234974e-06,1e-07,0.5,-2.6450763,-2.7861614,0.9879294,-5.6300964,1.7084084,0.0,0.018936215,0.0,0.06666666666666667,0.0,0.1502984,True,Left vs Right,Left,Right
TSACC,0.9508,0.04920000000000002,2.961409919253223,1.2565857e-07,7.652224e-07,1e-07,0.5,-2.6376634,-2.7930298,1.1167662,-5.3259926,2.1507626,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
FAM118A,1.0,0.0,18.420680753952368,0.00013047986,2.133944e-05,1e-07,0.5,2.6251616,2.6250324,0.59451425,0.659647,4.664459,0.0,0.011371843,0.0,0.06666666666666667,0.0,0.076731704,True,Left vs Right,Left,Right
HIST1H1E,0.9998,0.00019999999999997797,8.516943182665639,1.1786118e-05,1.9133558e-06,1e-07,0.5,2.6244428,2.627821,0.63921016,0.48311615,5.3837624,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ESRP1,0.9776,0.022399999999999975,3.7760391933569983,4.4709128e-07,2.6519936e-06,1e-07,0.5,-2.615531,-2.6571236,0.94734573,-6.262583,1.5610447,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
DNAJC12,0.9956,0.0043999999999999595,5.421738766888735,3.7735247e-06,2.2742151e-05,1e-07,0.5,-2.609432,-2.5895538,0.86937636,-6.114607,0.26918983,0.0,0.031932436,0.0,0.06666666666666667,0.0,0.29080617,True,Left vs Right,Left,Right
FBXO2,0.9732000000000001,0.026799999999999935,3.5921873605336807,1.5282652e-05,2.6473267e-06,1e-07,0.5,2.6093447,2.6707115,0.84315145,-1.5556107,5.1448965,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MATR3,0.9722,0.027800000000000047,3.5545251744885458,5.434538e-07,3.3157949e-06,1e-07,0.5,-2.6021059,-2.6418142,0.92650104,-5.4699955,0.7812824,0.0,0.010651365,0.0,0.06666666666666667,0.0,0.07528377,True,Left vs Right,Left,Right
OVOL1,0.972,0.028000000000000025,3.5471509474305067,3.7913335e-07,2.3899943e-06,1e-07,0.5,-2.600589,-2.6340122,1.0270112,-6.372122,1.47295,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
NRSN2-AS1,0.9996,0.00039999999999995595,7.823620941151559,5.4572874e-06,8.7207405e-07,1e-07,0.5,2.6001346,2.5603313,0.69395804,0.248106,5.502846,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MDGA1,0.9868,0.01319999999999999,4.314249807621173,2.3895752e-06,1.4824389e-05,1e-07,0.5,-2.5982466,-2.5608807,0.9634063,-6.611411,0.7344532,0.0,0.027200526,0.0,0.13333333333333333,0.0,0.19299378,True,Left vs Right,Left,Right
TMEM171,0.9986,0.0013999999999999568,6.569874928627714,2.095832e-07,1.2209059e-06,1e-07,0.5,-2.5818686,-2.5901575,0.6253138,-5.167137,-0.30010796,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
COL11A1,0.9714,0.02859999999999996,3.525331272729971,5.8942496e-06,3.3591783e-05,1e-07,0.5,-2.5792232,-2.573773,1.1331987,-6.579749,1.3007956,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LAMA3,0.9988,0.0011999999999999789,6.724224678325084,1.5566648e-06,9.143086e-06,1e-07,0.5,-2.564449,-2.5225382,0.76594895,-5.5685587,-0.13193512,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RGS5,0.9486,0.0514,2.9153488569717028,9.71934e-06,5.1568484e-05,1e-07,0.5,-2.5567846,-2.540934,1.3130932,-6.938116,1.6632118,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SAPCD2,0.9694,0.03059999999999996,3.4556769979712687,6.150798e-07,3.6553438e-06,1e-07,0.5,-2.5401943,-2.5589476,1.0664548,-7.165489,1.7691956,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SPDEF,0.9658,0.03420000000000001,3.3407308473273742,5.719034e-07,3.4094542e-06,1e-07,0.5,-2.5365708,-2.5426712,1.0987251,-6.746578,1.9362316,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LINC00960,0.9770000000000001,0.02299999999999991,3.7489920115665374,1.3651252e-06,8.298952e-06,1e-07,0.5,-2.5301309,-2.6341171,0.80850893,-4.6548195,1.0099201,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CEACAM5,0.9732000000000001,0.026799999999999935,3.5921873605336807,6.65625e-06,3.9042927e-05,1e-07,0.5,-2.5265403,-2.5884242,1.1173683,-6.3728924,3.498742,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ADGRV1,0.9904,0.009600000000000053,4.636344771887343,1.9534305e-07,1.15258e-06,1e-07,0.5,-2.5245183,-2.54138,0.74264216,-4.8406677,0.13331795,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LAMP5,0.9808,0.019199999999999995,3.9334577755107722,8.1751773e-07,4.7875833e-06,1e-07,0.5,-2.5135972,-2.4901667,1.0236694,-6.3360825,1.4819489,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KRT6B,0.9552,0.04479999999999995,3.0597123904721504,2.2087137e-07,1.2724555e-06,1e-07,0.5,-2.5135267,-2.4390497,1.366126,-8.336298,3.2341938,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
GNLY,0.9586,0.04139999999999999,3.1421927747802774,1.2100304e-05,2.2369939e-06,1e-07,0.5,2.5091643,2.4853048,1.2024225,-1.9738045,7.6002445,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KLK8,0.9800000000000001,0.019999999999999907,3.8918198083148376,2.8754218e-07,1.5650328e-06,1e-07,0.5,-2.4997623,-2.3965244,1.0471553,-7.4800816,1.3635025,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SIRPB1,0.981,0.019000000000000017,3.9441329642769505,3.4300924e-06,6.309734e-07,1e-07,0.5,2.4963481,2.3001575,1.3133495,-0.5306301,8.804077,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CXCL14,0.9636,0.03639999999999999,3.276107231750535,0.0025093618,0.00048550824,1e-07,0.5,2.495745,2.3507133,1.3498675,-0.89851,8.861805,3.492075,0.58176804,1.0,0.5333333333333333,39.47993,4.526751,True,Left vs Right,Left,Right
MYCBPAP,0.9636,0.03639999999999999,3.276107231750535,2.745278e-06,5.169327e-07,1e-07,0.5,2.4865427,2.5017672,1.0985886,-0.786726,6.126478,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CDK5R1,0.9488,0.05120000000000002,2.9194583114251467,7.968642e-07,4.647967e-06,1e-07,0.5,-2.4848034,-2.6665697,1.3455186,-5.423586,3.493288,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
WNT11,0.9978,0.0021999999999999797,6.11709095964051,1.8422157e-05,3.3434258e-06,1e-07,0.5,2.4657314,2.4469423,0.70548666,0.027885437,5.246092,0.32184142,0.0,0.25,0.0,3.9496253,0.0,True,Left vs Right,Left,Right
FCGBP,0.9743999999999999,0.025600000000000067,3.639229165107915,6.2613167e-06,3.416548e-05,1e-07,0.5,-2.4654605,-2.485086,1.0001782,-6.1175594,1.2688961,0.0,0.012297726,0.0,0.06666666666666667,0.0,0.08841689,True,Left vs Right,Left,Right
CEACAM7,0.9592,0.04079999999999995,3.157417287630535,1.4815505e-06,7.762395e-06,1e-07,0.5,-2.4652758,-2.6400433,1.3526713,-6.6000595,5.2159195,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SFRP2,0.9576,0.04239999999999999,3.1172815665995963,0.00033868672,0.0017599695,1e-07,0.5,-2.4608963,-2.4547057,1.2053547,-6.8481746,2.3212938,0.0,2.8554015,0.0,0.8666666666666666,0.0,21.891544,True,Left vs Right,Left,Right
