,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
RNF128,0.9480000000000001,0.051999999999999935,2.9031106019144453,1.2037137e-06,4.770765e-06,1e-07,0.5,-1.9830699,-1.9711399,1.3165884,-7.137718,3.3684425,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
DHFR,0.9586,0.04139999999999999,3.1421927747802774,5.141584e-06,2.0550171e-05,1e-07,0.5,-1.9809767,-2.0323892,0.8433604,-3.998128,1.8027744,0.0,0.026367676,0.0,0.13333333333333333,0.0,0.18572786,True,Left vs Right,Left,Right
BCL9,0.988,0.01200000000000001,4.410775224748337,2.9881303e-06,1.1771286e-05,1e-07,0.5,-1.9802172,-2.0202456,0.59419197,-3.8928843,0.9091873,0.0,0.012547174,0.0,0.06666666666666667,0.0,0.08457825,True,Left vs Right,Left,Right
LRRC19,0.9406,0.05940000000000001,2.7622235854237056,3.7107623e-07,1.4794939e-06,1e-07,0.5,-1.9795922,-2.0732603,0.99082863,-4.6448364,3.16951,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
PTGR2,0.9624,0.03759999999999997,3.2424258586979,3.4380157e-06,1.3883409e-05,1e-07,0.5,-1.9793774,-2.0728793,0.7852376,-4.129649,1.8201771,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MARVELD2,0.9501999999999999,0.049800000000000066,2.94865731444312,7.48096e-07,2.7675069e-06,1e-07,0.5,-1.9754581,-1.9941454,0.8484135,-4.504534,1.0706921,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ANPEP,0.9606,0.03939999999999999,3.1937920295299222,8.644617e-05,2.3109684e-05,1e-07,0.5,1.9734083,1.8433957,1.021569,-0.7113581,6.860902,0.29517794,0.022079114,0.25,0.06666666666666667,3.1514597,0.15644465,True,Left vs Right,Left,Right
MYO10,0.9658000000000001,0.0341999999999999,3.340730847327378,8.411935e-06,3.2367552e-05,1e-07,0.5,-1.9698918,-1.9880185,0.7755935,-4.352271,1.1625233,0.0,0.083849266,0.0,0.26666666666666666,0.0,0.64931315,True,Left vs Right,Left,Right
CDC25A,0.9334,0.06659999999999999,2.6401291165327536,4.484449e-07,1.7507006e-06,1e-07,0.5,-1.9680729,-2.073309,1.3324687,-6.2065773,3.433426,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ZNF189,0.9653999999999999,0.034600000000000075,3.328688562503813,1.9570405e-06,7.899704e-06,1e-07,0.5,-1.9659855,-2.0325108,0.6912818,-3.967598,1.1007938,0.0,0.027997812,0.0,0.06666666666666667,0.0,0.19719702,True,Left vs Right,Left,Right
MT3,0.9309999999999999,0.06900000000000006,2.6021526384934197,4.1914498e-07,1.6060276e-06,1e-07,0.5,-1.9655848,-1.9509315,0.9908213,-5.8866844,2.0277271,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
FRMD3,0.93,0.06999999999999995,2.586689211993499,2.3028028e-06,8.664271e-06,1e-07,0.5,-1.9637486,-2.00251,0.9594423,-4.832144,1.0422935,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
DEPDC1B,0.9412,0.05879999999999996,2.7730136425053487,4.1599571e-07,1.578029e-06,1e-07,0.5,-1.96149,-2.0043573,0.87744594,-4.783491,1.3769016,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LINC01506,0.9178000000000001,0.08219999999999994,2.412824089139726,2.1995982e-07,8.9709124e-07,1e-07,0.5,-1.959286,-2.0633993,1.0490927,-4.8428,2.6811867,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CDC42EP2,0.9866,0.013399999999999967,4.2990092457102165,4.1272247e-05,1.09819275e-05,1e-07,0.5,1.9575783,1.8723578,0.8006956,-0.19506836,5.6110535,0.0,0.026761165,0.0,0.13333333333333333,0.0,0.19760549,True,Left vs Right,Left,Right
TMPRSS2,0.951,0.049000000000000044,2.9656935708683982,1.4893944e-06,6.058363e-06,1e-07,0.5,-1.9564412,-2.0809822,1.1369953,-5.332634,3.3757153,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
LAD1,0.9556,0.044399999999999995,3.0690997312529054,1.6836254e-06,6.270217e-06,1e-07,0.5,-1.9557322,-1.9654474,0.92289305,-6.0496387,2.0403824,0.0,0.011949447,0.0,0.06666666666666667,0.0,0.084669486,True,Left vs Right,Left,Right
PLEKHM3,0.9648,0.03520000000000001,3.310874469642843,7.227537e-06,2.0084797e-06,1e-07,0.5,1.9552002,1.9183168,0.8544845,-0.31088638,5.0823784,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CFTR,0.9298,0.07020000000000004,2.583621066529587,4.727233e-07,1.8524336e-06,1e-07,0.5,-1.9523907,-2.002081,1.0612447,-5.6080093,2.7876701,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
