validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3683.061767578125,1752593374,,False,1,f2a0617a,2025-07-15_16-29-34,8.971834659576416,8.971834659576416,60346,sapien-desktop,192.168.1.136,8.971834659576416,1
3598.970458984375,1752593381,,False,2,f2a0617a,2025-07-15_16-29-41,7.8556294441223145,16.82746410369873,60346,sapien-desktop,192.168.1.136,16.82746410369873,2
3559.0537109375,1752593389,,False,3,f2a0617a,2025-07-15_16-29-49,7.820881605148315,24.648345708847046,60346,sapien-desktop,192.168.1.136,24.648345708847046,3
3536.72705078125,1752593397,,False,4,f2a0617a,2025-07-15_16-29-57,7.883673429489136,32.53201913833618,60346,sapien-desktop,192.168.1.136,32.53201913833618,4
3533.335205078125,1752593405,,False,5,f2a0617a,2025-07-15_16-30-05,7.811563491821289,40.34358263015747,60346,sapien-desktop,192.168.1.136,40.34358263015747,5
3515.106689453125,1752593413,,False,6,f2a0617a,2025-07-15_16-30-13,7.734403848648071,48.07798647880554,60346,sapien-desktop,192.168.1.136,48.07798647880554,6
3507.860107421875,1752593421,,False,7,f2a0617a,2025-07-15_16-30-21,7.781543016433716,55.85952949523926,60346,sapien-desktop,192.168.1.136,55.85952949523926,7
3504.86083984375,1752593428,,False,8,f2a0617a,2025-07-15_16-30-28,7.719526052474976,63.57905554771423,60346,sapien-desktop,192.168.1.136,63.57905554771423,8
3502.190673828125,1752593436,,False,9,f2a0617a,2025-07-15_16-30-36,7.605963706970215,71.18501925468445,60346,sapien-desktop,192.168.1.136,71.18501925468445,9
3498.877197265625,1752593443,,False,10,f2a0617a,2025-07-15_16-30-43,7.573086261749268,78.75810551643372,60346,sapien-desktop,192.168.1.136,78.75810551643372,10
3496.229248046875,1752593451,,False,11,f2a0617a,2025-07-15_16-30-51,7.621237754821777,86.3793432712555,60346,sapien-desktop,192.168.1.136,86.3793432712555,11
3493.617919921875,1752593459,,False,12,f2a0617a,2025-07-15_16-30-59,7.6365807056427,94.0159239768982,60346,sapien-desktop,192.168.1.136,94.0159239768982,12
3491.356201171875,1752593466,,False,13,f2a0617a,2025-07-15_16-31-06,7.642583847045898,101.65850782394409,60346,sapien-desktop,192.168.1.136,101.65850782394409,13
3492.168212890625,1752593474,,False,14,f2a0617a,2025-07-15_16-31-14,7.559159278869629,109.21766710281372,60346,sapien-desktop,192.168.1.136,109.21766710281372,14
3488.017822265625,1752593481,,False,15,f2a0617a,2025-07-15_16-31-21,6.922577381134033,116.14024448394775,60346,sapien-desktop,192.168.1.136,116.14024448394775,15
3487.87939453125,1752593488,,False,16,f2a0617a,2025-07-15_16-31-28,6.923285484313965,123.06352996826172,60346,sapien-desktop,192.168.1.136,123.06352996826172,16
3486.197509765625,1752593495,,False,17,f2a0617a,2025-07-15_16-31-35,6.908637762069702,129.97216773033142,60346,sapien-desktop,192.168.1.136,129.97216773033142,17
3484.287841796875,1752593502,,False,18,f2a0617a,2025-07-15_16-31-42,6.926249027252197,136.89841675758362,60346,sapien-desktop,192.168.1.136,136.89841675758362,18
3491.50146484375,1752593509,,False,19,f2a0617a,2025-07-15_16-31-49,6.953240633010864,143.85165739059448,60346,sapien-desktop,192.168.1.136,143.85165739059448,19
3486.07666015625,1752593515,,False,20,f2a0617a,2025-07-15_16-31-55,6.913989543914795,150.76564693450928,60346,sapien-desktop,192.168.1.136,150.76564693450928,20
