validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3656.97607421875,1752592879,,False,1,4d30a4a8,2025-07-15_16-21-19,11.642848491668701,11.642848491668701,57792,sapien-desktop,192.168.1.136,11.642848491668701,1
3577.99072265625,1752592890,,False,2,4d30a4a8,2025-07-15_16-21-30,10.505279064178467,22.148127555847168,57792,sapien-desktop,192.168.1.136,22.148127555847168,2
3536.646484375,1752592900,,False,3,4d30a4a8,2025-07-15_16-21-40,10.393628120422363,32.54175567626953,57792,sapien-desktop,192.168.1.136,32.54175567626953,3
3519.4521484375,1752592910,,False,4,4d30a4a8,2025-07-15_16-21-50,10.168261289596558,42.71001696586609,57792,sapien-desktop,192.168.1.136,42.71001696586609,4
3509.01220703125,1752592920,,False,5,4d30a4a8,2025-07-15_16-22-00,10.265033960342407,52.975050926208496,57792,sapien-desktop,192.168.1.136,52.975050926208496,5
3499.926513671875,1752592931,,False,6,4d30a4a8,2025-07-15_16-22-11,10.356407165527344,63.33145809173584,57792,sapien-desktop,192.168.1.136,63.33145809173584,6
3491.169189453125,1752592941,,False,7,4d30a4a8,2025-07-15_16-22-21,10.260198593139648,73.59165668487549,57792,sapien-desktop,192.168.1.136,73.59165668487549,7
3485.16259765625,1752592951,,False,8,4d30a4a8,2025-07-15_16-22-31,10.202342987060547,83.79399967193604,57792,sapien-desktop,192.168.1.136,83.79399967193604,8
3490.0126953125,1752592962,,False,9,4d30a4a8,2025-07-15_16-22-42,10.437865018844604,94.23186469078064,57792,sapien-desktop,192.168.1.136,94.23186469078064,9
3480.40673828125,1752592972,,False,10,4d30a4a8,2025-07-15_16-22-52,10.410184383392334,104.64204907417297,57792,sapien-desktop,192.168.1.136,104.64204907417297,10
3475.241455078125,1752592982,,False,11,4d30a4a8,2025-07-15_16-23-02,10.305576086044312,114.94762516021729,57792,sapien-desktop,192.168.1.136,114.94762516021729,11
3476.466552734375,1752592993,,False,12,4d30a4a8,2025-07-15_16-23-13,10.309001922607422,125.2566270828247,57792,sapien-desktop,192.168.1.136,125.2566270828247,12
3475.110107421875,1752593003,,False,13,4d30a4a8,2025-07-15_16-23-23,10.305572748184204,135.5621998310089,57792,sapien-desktop,192.168.1.136,135.5621998310089,13
3471.9951171875,1752593013,,False,14,4d30a4a8,2025-07-15_16-23-33,10.150232076644897,145.7124319076538,57792,sapien-desktop,192.168.1.136,145.7124319076538,14
3474.557861328125,1752593023,,False,15,4d30a4a8,2025-07-15_16-23-43,10.227256774902344,155.93968868255615,57792,sapien-desktop,192.168.1.136,155.93968868255615,15
3470.318603515625,1752593034,,False,16,4d30a4a8,2025-07-15_16-23-54,10.16164231300354,166.1013309955597,57792,sapien-desktop,192.168.1.136,166.1013309955597,16
3466.80859375,1752593044,,False,17,4d30a4a8,2025-07-15_16-24-04,10.34344220161438,176.44477319717407,57792,sapien-desktop,192.168.1.136,176.44477319717407,17
3471.64111328125,1752593055,,False,18,4d30a4a8,2025-07-15_16-24-15,10.829071283340454,187.27384448051453,57792,sapien-desktop,192.168.1.136,187.27384448051453,18
3468.146240234375,1752593066,,False,19,4d30a4a8,2025-07-15_16-24-26,10.894134998321533,198.16797947883606,57792,sapien-desktop,192.168.1.136,198.16797947883606,19
3466.303466796875,1752593076,,False,20,4d30a4a8,2025-07-15_16-24-36,10.550273895263672,208.71825337409973,57792,sapien-desktop,192.168.1.136,208.71825337409973,20
