validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3678.93701171875,1752594149,,False,1,434476a6,2025-07-15_16-42-29,8.997071027755737,8.997071027755737,63747,sapien-desktop,192.168.1.136,8.997071027755737,1
3602.366943359375,1752594157,,False,2,434476a6,2025-07-15_16-42-37,8.000736474990845,16.997807502746582,63747,sapien-desktop,192.168.1.136,16.997807502746582,2
3531.454345703125,1752594165,,False,3,434476a6,2025-07-15_16-42-45,7.894340753555298,24.89214825630188,63747,sapien-desktop,192.168.1.136,24.89214825630188,3
3504.343994140625,1752594174,,False,4,434476a6,2025-07-15_16-42-54,8.307336330413818,33.1994845867157,63747,sapien-desktop,192.168.1.136,33.1994845867157,4
3487.531494140625,1752594181,,False,5,434476a6,2025-07-15_16-43-01,7.815959215164185,41.01544380187988,63747,sapien-desktop,192.168.1.136,41.01544380187988,5
3476.3486328125,1752594189,,False,6,434476a6,2025-07-15_16-43-09,7.936777830123901,48.952221632003784,63747,sapien-desktop,192.168.1.136,48.952221632003784,6
3467.888671875,1752594197,,False,7,434476a6,2025-07-15_16-43-17,7.663904428482056,56.61612606048584,63747,sapien-desktop,192.168.1.136,56.61612606048584,7
3467.41259765625,1752594205,,False,8,434476a6,2025-07-15_16-43-25,7.6617231369018555,64.2778491973877,63747,sapien-desktop,192.168.1.136,64.2778491973877,8
3457.754638671875,1752594212,,False,9,434476a6,2025-07-15_16-43-32,7.636581659317017,71.91443085670471,63747,sapien-desktop,192.168.1.136,71.91443085670471,9
3458.3212890625,1752594220,,False,10,434476a6,2025-07-15_16-43-40,7.668885231018066,79.58331608772278,63747,sapien-desktop,192.168.1.136,79.58331608772278,10
3449.994140625,1752594228,,False,11,434476a6,2025-07-15_16-43-48,7.6623547077178955,87.24567079544067,63747,sapien-desktop,192.168.1.136,87.24567079544067,11
3448.658935546875,1752594235,,False,12,434476a6,2025-07-15_16-43-55,7.685076951980591,94.93074774742126,63747,sapien-desktop,192.168.1.136,94.93074774742126,12
3452.67578125,1752594243,,False,13,434476a6,2025-07-15_16-44-03,7.631249666213989,102.56199741363525,63747,sapien-desktop,192.168.1.136,102.56199741363525,13
3445.356689453125,1752594251,,False,14,434476a6,2025-07-15_16-44-11,7.774352312088013,110.33634972572327,63747,sapien-desktop,192.168.1.136,110.33634972572327,14
3446.261962890625,1752594259,,False,15,434476a6,2025-07-15_16-44-19,7.777485132217407,118.11383485794067,63747,sapien-desktop,192.168.1.136,118.11383485794067,15
3445.47900390625,1752594266,,False,16,434476a6,2025-07-15_16-44-26,7.700353145599365,125.81418800354004,63747,sapien-desktop,192.168.1.136,125.81418800354004,16
3440.722900390625,1752594274,,False,17,434476a6,2025-07-15_16-44-34,7.814144849777222,133.62833285331726,63747,sapien-desktop,192.168.1.136,133.62833285331726,17
3441.154541015625,1752594282,,False,18,434476a6,2025-07-15_16-44-42,7.721695423126221,141.35002827644348,63747,sapien-desktop,192.168.1.136,141.35002827644348,18
3439.59619140625,1752594289,,False,19,434476a6,2025-07-15_16-44-49,7.6999688148498535,149.04999709129333,63747,sapien-desktop,192.168.1.136,149.04999709129333,19
3438.970947265625,1752594297,,False,20,434476a6,2025-07-15_16-44-57,7.667752742767334,156.71774983406067,63747,sapien-desktop,192.168.1.136,156.71774983406067,20
