validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3689.400390625,1752573553,,False,1,2cd40149,2025-07-15_10-59-13,10.570273399353027,10.570273399353027,35556,sapien-desktop,192.168.1.136,10.570273399353027,1
3610.779296875,1752573563,,False,2,2cd40149,2025-07-15_10-59-23,9.480740547180176,20.051013946533203,35556,sapien-desktop,192.168.1.136,20.051013946533203,2
3569.92333984375,1752573572,,False,3,2cd40149,2025-07-15_10-59-32,9.45399808883667,29.505012035369873,35556,sapien-desktop,192.168.1.136,29.505012035369873,3
3543.980712890625,1752573582,,False,4,2cd40149,2025-07-15_10-59-42,9.472269535064697,38.97728157043457,35556,sapien-desktop,192.168.1.136,38.97728157043457,4
3535.45556640625,1752573591,,False,5,2cd40149,2025-07-15_10-59-51,9.476869344711304,48.454150915145874,35556,sapien-desktop,192.168.1.136,48.454150915145874,5
3529.81787109375,1752573601,,False,6,2cd40149,2025-07-15_11-00-01,9.460576057434082,57.914726972579956,35556,sapien-desktop,192.168.1.136,57.914726972579956,6
3526.390380859375,1752573610,,False,7,2cd40149,2025-07-15_11-00-10,9.485509634017944,67.4002366065979,35556,sapien-desktop,192.168.1.136,67.4002366065979,7
3521.662841796875,1752573620,,True,8,2cd40149,2025-07-15_11-00-20,9.497622966766357,76.89785957336426,35556,sapien-desktop,192.168.1.136,76.89785957336426,8
