,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,log10_bf
TPCN1,0.964,0.03600000000000003,3.2875720887501396,1.1823988e-05,7.766351e-05,1e-07,0.25,-2.722708,-2.7261286,1.8653274,-9.534748,5.226506,0.023154369,0.112734325,0.06473594548551963,0.1538992408557618,0.20713496,1.1562054,True,0.5168752846754769
MICAL3,0.955,0.04500000000000004,3.0550486389594163,1.3770631e-05,9.788744e-05,1e-07,0.25,-2.7206898,-2.6886654,2.1861737,-9.870392,6.671731,0.028749412,0.11074277,0.08858603066439528,0.13802622498274603,0.2476244,1.1132565,True,0.4850181289834682
SLC7A11,0.9466000000000001,0.05339999999999989,2.8750656948042246,8.814559e-06,3.3261756e-05,1e-07,0.25,-2.718689,-2.4847264,3.1623545,-12.524898,9.131081,0.016059462,0.058824603,0.04258943781942081,0.09730848861283602,0.1413083,0.599977,True,0.458647772715537
PIDD1,0.9594,0.04059999999999997,3.16253978657807,4.250784e-06,3.4337376e-05,1e-07,0.25,-2.7165284,-2.7163072,2.027619,-10.094108,3.6690931,0.009369196,0.048797045,0.02725724020442932,0.061421670117322115,0.08241041,0.4984274,True,0.5000359979075257
PLEKHM1,0.957,0.04300000000000004,3.1026030536505993,1.23723e-05,8.900664e-05,1e-07,0.25,-2.7160823,-2.655952,2.1533513,-9.69519,5.704324,0.025788581,0.11747389,0.07836456558773429,0.14734299516908136,0.23102245,1.2248305,True,0.49172621561216334
GABPB1-AS1,0.9622,0.037799999999999945,3.236912972482433,1.2023076e-05,7.710705e-05,1e-07,0.25,-2.7099078,-2.7494392,2.0229287,-9.098074,4.708493,0.02249065,0.1486477,0.07722884724588307,0.17667356797791484,0.18943241,1.5016688,True,0.5101310231482317
SLC4A7,0.946,0.05400000000000005,2.8632583478732596,9.343981e-06,3.5399695e-05,1e-07,0.25,-2.7090344,-2.4772434,2.7662694,-10.522969,7.168583,0.022082143,0.057312757,0.07041453719477574,0.08212560386473398,0.19461434,0.6019779,True,0.456860535600103
SPDYA,0.9456,0.054400000000000004,2.8554553195417203,4.0298332e-07,2.5939328e-06,1e-07,0.25,-2.70711,-2.7414703,2.4897127,-10.132107,5.868265,0.0011829636,0.0043395655,0.0028392958546280523,0.010006901311249136,0.010882993,0.048834488,True,0.45567536898866867
KNTC1,0.9576,0.04239999999999999,3.1172815665995963,3.7520472e-06,3.294224e-05,1e-07,0.25,-2.7047465,-2.7228703,2.449299,-11.202027,5.8423204,0.009253652,0.052578222,0.026121521862578097,0.06383712905452017,0.08538217,0.5216256,True,0.4937760314527111
PLCG2,0.9580000000000001,0.041999999999999926,3.1271779320306976,1.0407187e-05,9.976469e-05,1e-07,0.25,-2.7035694,-2.8166785,2.2661667,-12.566982,5.818634,0.00924209,0.12806268,0.019875070982396378,0.11076604554865373,0.088324375,1.3587052,True,0.4951525927056945
KIAA0556,0.9496,0.0504,2.936049480336206,3.991168e-06,3.367913e-05,1e-07,0.25,-2.7024763,-2.7499394,2.1077812,-8.9944515,4.4480104,0.009863726,0.053728577,0.033503691084611036,0.0655624568668045,0.08158363,0.5707751,True,0.46776337035143434
CLCN7,0.962,0.038000000000000034,3.23142803817647,1.2250142e-05,6.948077e-05,1e-07,0.25,-2.7015498,-2.632987,1.9829423,-9.621623,5.931388,0.019264704,0.07402317,0.051675184554230584,0.0993788819875772,0.1863964,0.78148824,True,0.5093944889211017
WDR37,0.9564,0.04359999999999997,3.088118866327286,3.4094714e-06,1.9312023e-05,1e-07,0.25,-2.7013955,-2.6606894,2.0362554,-8.865627,5.5625534,0.007046144,0.024938531,0.026121521862578097,0.0383022774327122,0.054760203,0.25006437,True,0.4896940086455367
